,date,city_name,temp_daily_max,pressure_daily_max,humidity_daily_max,wind_speed_daily_max,rain_1h_daily_max,rain_3h_daily_max,snow_3h_daily_max,clouds_all_daily_max,generation biomass_daily_max,generation fossil brown coal/lignite_daily_max,generation fossil gas_daily_max,generation fossil hard coal_daily_max,generation fossil oil_daily_max,generation hydro pumped storage consumption_daily_max,generation hydro run-of-river and poundage_daily_max,generation hydro water reservoir_daily_max,generation nuclear_daily_max,generation other_daily_max,generation other renewable_daily_max,generation solar_daily_max,generation waste_daily_max,generation wind onshore_daily_max,forecast solar day ahead_daily_max,forecast wind onshore day ahead_daily_max,total load forecast_daily_max,total load actual_daily_max,price day ahead_daily_max,price actual_daily_max,gen_total_daily_max,month,day_of_week
0,2015-01-01,Barcelona,11.452312500000003,1038.0,100.0,7.0,0.0,0.0,0.0,0.0,449.0,329.0,5196.0,5043.0,167.0,2170.0,1220.0,6231.0,7099.0,43.0,76.0,4007.0,212.0,6378.0,3842.0,6436.0,30739.0,29571.0,62.69,75.64,30452.0,1,Thursday
1,2015-01-01,Bilbao,11.4416875,1036.0,97.0,1.0,0.0,0.0,0.0,24.0,449.0,329.0,5196.0,5043.0,167.0,2170.0,1220.0,6231.0,7099.0,43.0,76.0,4007.0,212.0,6378.0,3842.0,6436.0,30739.0,29571.0,62.69,75.64,30452.0,1,Thursday
2,2015-01-01,Madrid,10.158312500000022,1036.0,75.0,1.0,0.0,0.0,0.0,0.0,449.0,329.0,5196.0,5043.0,167.0,2170.0,1220.0,6231.0,7099.0,43.0,76.0,4007.0,212.0,6378.0,3842.0,6436.0,30739.0,29571.0,62.69,75.64,30452.0,1,Thursday
3,2015-01-01,Seville,13.844000000000053,1043.0,84.0,4.0,0.0,0.0,0.0,0.0,449.0,329.0,5196.0,5043.0,167.0,2170.0,1220.0,6231.0,7099.0,43.0,76.0,4007.0,212.0,6378.0,3842.0,6436.0,30739.0,29571.0,62.69,75.64,30452.0,1,Thursday
4,2015-01-01,Valencia,12.127343750000025,1035.0,84.0,2.0,0.0,0.0,0.0,0.0,449.0,329.0,5196.0,5043.0,167.0,2170.0,1220.0,6231.0,7099.0,43.0,76.0,4007.0,212.0,6378.0,3842.0,6436.0,30739.0,29571.0,62.69,75.64,30452.0,1,Thursday
5,2015-01-02,Barcelona,13.178687500000024,1039.0,100.0,2.0,0.0,0.0,0.0,64.0,443.0,0.0,6082.0,1432.0,220.0,3269.0,1370.0,5902.0,7108.0,45.0,69.0,4154.0,204.0,13232.0,4120.0,13329.0,33968.0,33668.0,52.01,83.33,37670.0,1,Friday
6,2015-01-02,Bilbao,11.695343750000006,1038.0,95.0,2.0,0.0,0.0,0.0,22.0,443.0,0.0,6082.0,1432.0,220.0,3269.0,1370.0,5902.0,7108.0,45.0,69.0,4154.0,204.0,13232.0,4120.0,13329.0,33968.0,33668.0,52.01,83.33,37670.0,1,Friday
7,2015-01-02,Madrid,11.795343750000027,1038.0,79.0,1.0,0.0,0.0,0.0,32.0,443.0,0.0,6082.0,1432.0,220.0,3269.0,1370.0,5902.0,7108.0,45.0,69.0,4154.0,204.0,13232.0,4120.0,13329.0,33968.0,33668.0,52.01,83.33,37670.0,1,Friday
8,2015-01-02,Seville,13.714312500000004,1045.0,89.0,4.0,0.0,0.0,0.0,0.0,443.0,0.0,6082.0,1432.0,220.0,3269.0,1370.0,5902.0,7108.0,45.0,69.0,4154.0,204.0,13232.0,4120.0,13329.0,33968.0,33668.0,52.01,83.33,37670.0,1,Friday
9,2015-01-02,Valencia,14.403687500000046,1037.0,82.0,2.0,0.0,0.0,0.0,0.0,443.0,0.0,6082.0,1432.0,220.0,3269.0,1370.0,5902.0,7108.0,45.0,69.0,4154.0,204.0,13232.0,4120.0,13329.0,33968.0,33668.0,52.01,83.33,37670.0,1,Friday
10,2015-01-03,Barcelona,13.998000000000047,1037.0,100.0,3.0,0.0,0.0,0.0,44.0,478.0,0.0,4157.0,1798.0,250.0,2953.0,1583.0,5985.0,7099.0,83.0,76.0,3780.0,222.0,10953.0,3756.0,10857.0,30828.0,29874.0,44.0,72.86,35814.0,1,Saturday
11,2015-01-03,Bilbao,11.659000000000049,1037.0,97.0,1.0,0.0,0.0,0.0,12.0,478.0,0.0,4157.0,1798.0,250.0,2953.0,1583.0,5985.0,7099.0,83.0,76.0,3780.0,222.0,10953.0,3756.0,10857.0,30828.0,29874.0,44.0,72.86,35814.0,1,Saturday
12,2015-01-03,Madrid,12.587000000000046,1036.0,86.0,2.0,0.0,0.0,0.0,4.0,478.0,0.0,4157.0,1798.0,250.0,2953.0,1583.0,5985.0,7099.0,83.0,76.0,3780.0,222.0,10953.0,3756.0,10857.0,30828.0,29874.0,44.0,72.86,35814.0,1,Saturday
13,2015-01-03,Seville,14.823000000000036,1045.0,90.0,3.0,0.0,0.0,0.0,0.0,478.0,0.0,4157.0,1798.0,250.0,2953.0,1583.0,5985.0,7099.0,83.0,76.0,3780.0,222.0,10953.0,3756.0,10857.0,30828.0,29874.0,44.0,72.86,35814.0,1,Saturday
14,2015-01-03,Valencia,17.173000000000002,1032.0,80.0,2.0,0.0,0.0,0.0,12.0,478.0,0.0,4157.0,1798.0,250.0,2953.0,1583.0,5985.0,7099.0,83.0,76.0,3780.0,222.0,10953.0,3756.0,10857.0,30828.0,29874.0,44.0,72.86,35814.0,1,Saturday
15,2015-01-04,Barcelona,16.900000000000034,1030.0,89.0,3.0,0.0,0.0,0.0,12.0,438.0,0.0,3997.0,2755.0,394.0,2185.0,1616.0,5936.0,7088.0,87.0,61.0,5668.0,177.0,8922.0,5765.0,9036.0,30717.0,30772.0,40.48,76.49,37855.0,1,Sunday
16,2015-01-04,Bilbao,9.285000000000023,1037.0,98.0,1.0,0.3,0.0,0.0,92.0,438.0,0.0,3997.0,2755.0,394.0,2185.0,1616.0,5936.0,7088.0,87.0,61.0,5668.0,177.0,8922.0,5765.0,9036.0,30717.0,30772.0,40.48,76.49,37855.0,1,Sunday
