date,generation biomass min,generation biomass max,generation biomass mean,generation fossil brown coal/lignite min,generation fossil brown coal/lignite max,generation fossil brown coal/lignite mean,generation fossil gas min,generation fossil gas max,generation fossil gas mean,generation fossil hard coal min,generation fossil hard coal max,generation fossil hard coal mean,generation fossil oil min,generation fossil oil max,generation fossil oil mean,generation hydro pumped storage consumption min,generation hydro pumped storage consumption max,generation hydro pumped storage consumption mean,generation hydro run-of-river and poundage min,generation hydro run-of-river and poundage max,generation hydro run-of-river and poundage mean,generation hydro water reservoir min,generation hydro water reservoir max,generation hydro water reservoir mean,generation marine min,generation marine max,generation marine mean,generation nuclear min,generation nuclear max,generation nuclear mean,generation other min,generation other max,generation other mean,generation other renewable min,generation other renewable max,generation other renewable mean,generation solar min,generation solar max,generation solar mean,generation waste min,generation waste max,generation waste mean,generation wind onshore min,generation wind onshore max,generation wind onshore mean,forecast solar day ahead min,forecast solar day ahead max,forecast solar day ahead mean,forecast wind onshore day ahead min,forecast wind onshore day ahead max,forecast wind onshore day ahead mean,total load forecast min,total load forecast max,total load forecast mean,total load actual min,total load actual max,total load actual mean,price day ahead min,price day ahead max,price day ahead mean,price actual min,price actual max,price actual mean,gen_total min,gen_total max,gen_total mean,month,day_of_week
2015-01-01,401.0,449.0,428.5,172.0,329.0,257.4166666666667,3708.0,5196.0,4256.75,3208.0,5043.0,4246.541666666667,147.0,167.0,160.20833333333334,0.0,2170.0,1070.4166666666667,949.0,1220.0,1047.875,720.0,6231.0,2166.875,0.0,0.0,0.0,7095.0,7099.0,7097.0,40.0,43.0,42.25,71.0,76.0,73.95833333333333,34.0,4007.0,1143.4583333333333,186.0,212.0,202.16666666666666,2552.0,6378.0,3708.4166666666665,2.0,3842.0,1050.0,2450.0,6436.0,3655.2083333333335,21285.0,30739.0,24703.625,19905.0,29571.0,23896.75,32.4,62.69,46.70249999999999,48.98,75.64,62.14875,23368.0,28973.0,25901.833333333332,01,Thursday
2015-01-02,353.0,443.0,385.2916666666667,0.0,0.0,0.0,2599.0,6082.0,3540.6666666666665,1016.0,1432.0,1237.0,188.0,220.0,198.625,68.0,3269.0,1543.6666666666667,1225.0,1370.0,1293.5416666666667,2529.0,5902.0,3714.9583333333335,0.0,0.0,0.0,7104.0,7108.0,7105.833333333333,44.0,45.0,44.25,57.0,69.0,61.375,53.0,4154.0,1252.2083333333333,167.0,204.0,185.25,9527.0,13232.0,11225.375,5.0,4120.0,1187.3333333333333,9560.0,13329.0,11284.375,22238.0,33968.0,27560.5,22066.0,33668.0,27251.291666666668,4.0,52.01,16.530833333333334,53.07,83.33,69.32708333333333,29716.0,33578.0,31788.041666666668,01,Friday
2015-01-03,393.0,478.0,440.5,0.0,0.0,0.0,2982.0,4157.0,3444.2916666666665,1137.0,1798.0,1344.25,188.0,250.0,226.58333333333334,0.0,2953.0,1338.4583333333333,1212.0,1583.0,1374.75,2266.0,5985.0,3969.4166666666665,0.0,0.0,0.0,7092.0,7099.0,7095.375,76.0,83.0,78.04166666666667,59.0,76.0,66.58333333333333,61.0,3780.0,1119.625,186.0,222.0,203.95833333333334,7592.0,10953.0,9167.416666666666,0.0,3756.0,1109.125,7573.0,10857.0,9144.625,21317.0,30828.0,25535.916666666668,21145.0,29874.0,25110.666666666668,11.7,44.0,25.799166666666665,55.29,72.86,65.70666666666666,28366.0,32058.0,29869.25,01,Saturday
2015-01-04,350.0,438.0,397.125,0.0,0.0,0.0,3118.0,3997.0,3469.5833333333335,1770.0,2755.0,2244.9583333333335,306.0,394.0,355.4166666666667,0.0,2185.0,590.0,1352.0,1616.0,1495.25,1355.0,5936.0,3241.3333333333335,0.0,0.0,0.0,7078.0,7088.0,7083.625,81.0,87.0,83.70833333333333,53.0,61.0,57.458333333333336,129.0,5668.0,2402.5,147.0,177.0,159.29166666666666,6878.0,8922.0,8065.666666666667,33.0,5765.0,2299.75,7008.0,9036.0,8074.625,21879.0,30717.0,27181.708333333332,21929.0,30772.0,27112.625,14.9,40.48,29.873333333333335,46.79,76.49,58.26416666666666,26898.0,32279.0,29645.916666666668,01,Sunday
2015-01-05,334.0,376.0,364.5,0.0,326.0,17.916666666666668,3900.0,5699.0,4435.291666666667,2138.0,4247.0,2583.0,291.0,352.0,324.625,0.0,2365.0,1156.8333333333333,967.0,1328.0,1171.9166666666667,1843.0,3732.0,2441.6666666666665,0.0,0.0,0.0,3712.0,4036.0,3910.375,37.0,45.0,39.166666666666664,71.0,76.0,73.66666666666667,155.0,3339.0,1631.5416666666667,140.0,161.0,152.58333333333334,4822.0,9131.0,7801.833333333333,161.0,4236.0,1736.875,4869.0,9258.0,7742.541666666667,19736.0,25938.0,22404.625,19964.0,25604.0,23026.833333333332,30.0,62.0,38.810833333333335,58.04,90.97,74.56875000000001,22077.0,28177.0,26104.916666666668,01,Monday
2015-01-06,528.0,547.0,537.0416666666666,742.0,980.0,920.25,3821.0,5143.0,4499.916666666667,4990.0,7279.0,6596.333333333333,257.0,368.0,326.875,0.0,1053.0,223.04166666666666,720.0,937.0,819.0,1218.0,4584.0,3075.8333333333335,0.0,0.0,0.0,4186.0,4961.0,4846.833333333333,83.0,88.0,85.95833333333333,61.0,72.0,66.04166666666667,412.0,5044.0,2263.125,184.0,268.0,232.875,470.0,4052.0,2530.25,399.0,5014.0,2276.1666666666665,483.0,4104.0,2549.4583333333335,21074.0,31154.0,27192.125,21042.0,32078.0,27802.666666666668,43.58,61.95,55.779583333333335,53.43,81.65,68.85541666666667,23023.0,30272.0,27023.375,01,Tuesday
2015-01-07,479.0,510.0,495.125,841.0,968.0,923.875,4001.0,6477.0,5384.25,7601.0,8163.0,7924.208333333333,354.0,386.0,369.0416666666667,0.0,845.0,135.95833333333334,677.0,788.0,725.9166666666666,563.0,4420.0,2072.0,0.0,0.0,0.0,5956.0,6005.0,5985.333333333333,84.0,89.0,86.70833333333333,50.0,57.0,53.125,573.0,4896.0,2302.7916666666665,213.0,226.0,217.83333333333334,2959.0,7996.0,5782.833333333333,457.0,4654.0,2242.2083333333335,3028.0,8090.0,5796.0,25734.0,36886.0,32491.666666666668,25838.0,36195.0,32105.0,47.03,67.1,59.465833333333336,60.05,100.45,78.77583333333334,27945.0,36968.0,32459.0,01,Wednesday
2015-01-08,500.0,546.0,518.375,351.0,637.0,546.4583333333334,3706.0,5209.0,4444.125,5570.0,7551.0,6881.958333333333,258.0,383.0,316.5833333333333,0.0,1804.0,404.375,628.0,722.0,664.7083333333334,781.0,3461.0,1535.625,0.0,0.0,0.0,6717.0,6762.0,6741.458333333333,82.0,86.0,84.16666666666667,65.0,70.0,67.33333333333333,223.0,5092.0,2301.3333333333335,214.0,260.0,235.875,1680.0,5908.0,3615.0,212.0,5172.0,2266.8333333333335,1729.0,5755.0,3645.4166666666665,23493.0,30711.0,27278.333333333332,22361.0,29329.0,26312.5,44.68,66.0,53.47,63.53,94.11,78.81041666666667,25624.0,30895.0,28357.375,01,Thursday
2015-01-09,468.0,495.0,482.875,663.0,956.0,875.3333333333334,4178.0,7022.0,5742.416666666667,6633.0,7866.0,7513.916666666667,288.0,397.0,347.7083333333333,0.0,753.0,163.33333333333334,544.0,672.0,609.0,655.0,3238.0,2025.125,0.0,0.0,0.0,6846.0,6867.0,6858.25,82.0,86.0,83.625,66.0,73.0,68.75,36.0,4285.0,1627.5416666666667,224.0,281.0,249.375,3334.0,5966.0,4295.916666666667,29.0,4218.0,1546.2083333333333,3466.0,5984.0,4298.791666666667,23980.0,34891.0,30161.875,23840.0,35524.0,30511.0,45.78,67.67,57.96791666666667,58.4,92.0,76.59833333333333,26019.0,35228.0,30943.166666666668,01,Friday
2015-01-10,537.0,578.0,559.5416666666666,709.0,934.0,868.7916666666666,4488.0,6096.0,5415.125,6632.0,7419.0,7234.541666666667,371.0,439.0,414.125,0.0,660.0,172.0,429.0,533.0,478.625,617.0,4438.0,2532.625,0.0,0.0,0.0,5879.0,6014.0,6001.875,78.0,91.0,86.70833333333333,66.0,79.0,71.20833333333333,102.0,5107.0,1825.0,221.0,269.0,247.95833333333334,826.0,4682.0,2255.1666666666665,27.0,5068.0,1740.2916666666667,783.0,4614.0,2252.5833333333335,22165.0,32363.0,27866.875,22025.0,32244.0,27990.75,49.1,64.66,57.37958333333333,54.53,78.67,68.2725,22675.0,31968.0,28163.291666666668,01,Saturday
