date,generation biomass_daily_max,generation fossil brown coal/lignite_daily_max,generation fossil gas_daily_max,generation fossil hard coal_daily_max,generation fossil oil_daily_max,generation hydro pumped storage consumption_daily_max,generation hydro run-of-river and poundage_daily_max,generation hydro water reservoir_daily_max,generation nuclear_daily_max,generation other_daily_max,generation other renewable_daily_max,generation solar_daily_max,generation waste_daily_max,generation wind onshore_daily_max,forecast solar day ahead_daily_max,forecast wind onshore day ahead_daily_max,total load forecast_daily_max,total load actual_daily_max,price day ahead_daily_max,price actual_daily_max,gen_total_daily_max,month,day_of_week
2015-01-01,449.0,329.0,5196.0,5043.0,167.0,2170.0,1220.0,6231.0,7099.0,43.0,76.0,4007.0,212.0,6378.0,3842.0,6436.0,30739.0,29571.0,62.69,75.64,30452.0,01,Thursday
2015-01-02,443.0,0.0,6082.0,1432.0,220.0,3269.0,1370.0,5902.0,7108.0,45.0,69.0,4154.0,204.0,13232.0,4120.0,13329.0,33968.0,33668.0,52.01,83.33,37670.0,01,Friday
2015-01-03,478.0,0.0,4157.0,1798.0,250.0,2953.0,1583.0,5985.0,7099.0,83.0,76.0,3780.0,222.0,10953.0,3756.0,10857.0,30828.0,29874.0,44.0,72.86,35814.0,01,Saturday
2015-01-04,438.0,0.0,3997.0,2755.0,394.0,2185.0,1616.0,5936.0,7088.0,87.0,61.0,5668.0,177.0,8922.0,5765.0,9036.0,30717.0,30772.0,40.48,76.49,37855.0,01,Sunday
2015-01-05,376.0,326.0,5699.0,4247.0,352.0,2365.0,1328.0,3732.0,4036.0,45.0,76.0,3339.0,161.0,9131.0,4236.0,9258.0,25938.0,25604.0,62.0,90.97,31521.0,01,Monday
2015-01-06,547.0,980.0,5143.0,7279.0,368.0,1053.0,937.0,4584.0,4961.0,88.0,72.0,5044.0,268.0,4052.0,5014.0,4104.0,31154.0,32078.0,61.95,81.65,35286.0,01,Tuesday
2015-01-07,510.0,968.0,6477.0,8163.0,386.0,845.0,788.0,4420.0,6005.0,89.0,57.0,4896.0,226.0,7996.0,4654.0,8090.0,36886.0,36195.0,67.1,100.45,41017.0,01,Wednesday
2015-01-08,546.0,637.0,5209.0,7551.0,383.0,1804.0,722.0,3461.0,6762.0,86.0,70.0,5092.0,260.0,5908.0,5172.0,5755.0,30711.0,29329.0,66.0,94.11,36067.0,01,Thursday
2015-01-09,495.0,956.0,7022.0,7866.0,397.0,753.0,672.0,3238.0,6867.0,86.0,73.0,4285.0,281.0,5966.0,4218.0,5984.0,34891.0,35524.0,67.67,92.0,39102.0,01,Friday
2015-01-10,578.0,934.0,6096.0,7419.0,439.0,660.0,533.0,4438.0,6014.0,91.0,79.0,5107.0,269.0,4682.0,5068.0,4614.0,32363.0,32244.0,64.66,78.67,36869.0,01,Saturday
2015-01-11,570.0,0.0,4827.0,4352.0,214.0,2946.0,711.0,1753.0,5046.0,85.0,71.0,2437.0,281.0,12806.0,2741.0,12869.0,27054.0,27123.0,53.21,82.47,32044.0,01,Sunday
2015-01-12,491.0,942.0,12693.0,7443.0,435.0,854.0,883.0,5946.0,5473.0,106.0,77.0,3262.0,235.0,1729.0,3487.0,1746.0,36901.0,36704.0,72.58,87.72,37377.0,01,Monday
2015-01-13,548.0,982.0,9945.0,7274.0,361.0,2608.0,1154.0,5939.0,7104.0,85.0,81.0,3253.0,275.0,8027.0,3422.0,8097.0,37797.0,37604.0,70.2,88.57,38768.0,01,Tuesday
2015-01-14,540.0,982.0,8809.0,7602.0,362.0,1966.0,1100.0,5677.0,7102.0,92.0,80.0,2688.0,284.0,8204.0,3159.0,8085.0,38219.0,37633.0,81.12,97.95,39576.0,01,Wednesday
2015-01-15,528.0,979.0,4838.0,6641.0,369.0,3124.0,1272.0,4371.0,7105.0,89.0,80.0,2287.0,273.0,12091.0,2640.0,12069.0,38704.0,37469.0,64.0,80.36,37351.0,01,Thursday
2015-01-16,527.0,971.0,6363.0,6654.0,373.0,3358.0,1234.0,4489.0,7105.0,93.0,82.0,2466.0,272.0,13423.0,2613.0,13327.0,37410.0,36821.0,71.25,89.11,40484.0,01,Friday
2015-01-17,536.0,976.0,5857.0,5879.0,305.0,2976.0,1195.0,5560.0,7106.0,81.0,78.0,3584.0,272.0,9550.0,3558.0,9235.0,34565.0,33865.0,64.88,75.99,36031.0,01,Saturday
2015-01-18,524.0,979.0,5550.0,5827.0,275.0,3289.0,1285.0,4986.0,7108.0,83.0,77.0,827.0,272.0,7114.0,1070.0,7164.0,34616.0,33891.0,60.8,74.81,33283.0,01,Sunday
2015-01-19,531.0,980.0,7693.0,8258.0,343.0,3063.0,1285.0,6275.0,7105.0,85.0,80.0,2356.0,273.0,9222.0,2304.0,9458.0,38758.0,39304.0,70.01,88.95,40007.0,01,Monday
2015-01-20,543.0,977.0,11092.0,8196.0,345.0,1498.0,1310.0,7064.0,6100.0,94.0,85.0,1806.0,275.0,6292.0,1761.0,6331.0,40070.0,40232.0,77.51,92.88,39221.0,01,Tuesday
2015-01-21,552.0,974.0,7341.0,7969.0,366.0,2725.0,1304.0,4851.0,6518.0,96.0,81.0,2183.0,262.0,9997.0,2751.0,10030.0,40082.0,40122.0,67.75,83.04,40208.0,01,Wednesday
2015-01-22,553.0,973.0,7743.0,7982.0,365.0,3256.0,1280.0,4407.0,7099.0,93.0,82.0,2851.0,233.0,11204.0,3230.0,10942.0,39791.0,39722.0,65.0,83.65,42681.0,01,Thursday
2015-01-23,561.0,962.0,7137.0,7987.0,367.0,2732.0,1294.0,4122.0,7104.0,95.0,81.0,4026.0,238.0,9600.0,4117.0,9444.0,38874.0,38333.0,68.5,84.61,42920.0,01,Friday
2015-01-24,535.0,632.0,5484.0,7383.0,302.0,3138.0,1219.0,5076.0,7100.0,85.0,80.0,4277.0,229.0,10647.0,4084.0,10758.0,34790.0,34630.0,57.9,71.35,37125.0,01,Saturday
2015-01-25,469.0,638.0,4514.0,4871.0,265.0,3291.0,1252.0,4887.0,7099.0,48.0,77.0,4437.0,236.0,11385.0,4410.0,11429.0,34416.0,33845.0,63.89,77.7,36233.0,01,Sunday
2015-01-26,471.0,971.0,8155.0,7641.0,342.0,2963.0,1297.0,6523.0,7106.0,58.0,78.0,4392.0,241.0,8373.0,4343.0,8444.0,38952.0,38869.0,71.15,89.51,40953.0,01,Monday
2015-01-27,477.0,960.0,6519.0,7979.0,359.0,2247.0,1195.0,4712.0,7107.0,45.0,78.0,3698.0,219.0,10069.0,3880.0,10010.0,38968.0,38718.0,70.52,86.75,41165.0,01,Tuesday
2015-01-28,501.0,780.0,8028.0,7708.0,370.0,2883.0,1056.0,4721.0,7103.0,53.0,83.0,4079.0,221.0,9624.0,4136.0,9606.0,38929.0,38240.0,72.52,88.92,40100.0,01,Wednesday
2015-01-29,501.0,297.0,4528.0,6444.0,366.0,2159.0,1222.0,4340.0,7099.0,54.0,80.0,2537.0,216.0,17436.0,2903.0,17430.0,38511.0,38090.0,61.44,78.95,41510.0,01,Thursday
2015-01-30,495.0,0.0,4576.0,2244.0,361.0,3573.0,1393.0,6848.0,7101.0,52.0,87.0,1336.0,208.0,16909.0,1549.0,16916.0,36643.0,36795.0,52.01,69.55,37495.0,01,Friday
2015-01-31,407.0,0.0,4354.0,1375.0,227.0,3215.0,1414.0,5913.0,7106.0,47.0,69.0,2551.0,201.0,15451.0,2904.0,15407.0,33550.0,33309.0,40.4,57.46,37684.0,01,Saturday
2015-02-01,489.0,326.0,8036.0,6029.0,362.0,1947.0,1329.0,7833.0,7101.0,44.0,82.0,3836.0,211.0,3360.0,3572.0,3494.0,34839.0,33955.0,65.01,70.15,34295.0,02,Sunday
