,,temp_daily_max,pressure_daily_max,humidity_daily_max,wind_speed_daily_max,rain_1h_daily_max,rain_3h_daily_max,snow_3h_daily_max,clouds_all_daily_max
date,city_name,,,,,,,,
2015-01-01,Barcelona,11.452312500000005,1038,100,7,0.0,0.0,0.0,0
2015-01-01,Bilbao,11.4416875,1036,97,1,0.0,0.0,0.0,24
2015-01-01,Madrid,10.158312500000022,1036,75,1,0.0,0.0,0.0,0
2015-01-01,Seville,13.844000000000051,1043,84,4,0.0,0.0,0.0,0
2015-01-01,Valencia,12.127343750000023,1035,84,2,0.0,0.0,0.0,0
2015-01-02,Barcelona,13.178687500000024,1039,100,2,0.0,0.0,0.0,64
2015-01-02,Bilbao,11.695343750000006,1038,95,2,0.0,0.0,0.0,22
2015-01-02,Madrid,11.795343750000029,1038,79,1,0.0,0.0,0.0,32
2015-01-02,Seville,13.714312500000005,1045,89,4,0.0,0.0,0.0,0
2015-01-02,Valencia,14.403687500000046,1037,82,2,0.0,0.0,0.0,0
2015-01-03,Barcelona,13.998000000000047,1037,100,3,0.0,0.0,0.0,44
2015-01-03,Bilbao,11.659000000000049,1037,97,1,0.0,0.0,0.0,12
2015-01-03,Madrid,12.587000000000046,1036,86,2,0.0,0.0,0.0,4
2015-01-03,Seville,14.823000000000036,1045,90,3,0.0,0.0,0.0,0
2015-01-03,Valencia,17.173000000000002,1032,80,2,0.0,0.0,0.0,12
2015-01-04,Barcelona,16.900000000000034,1030,89,3,0.0,0.0,0.0,12
2015-01-04,Bilbao,9.285000000000025,1037,98,1,0.3,0.0,0.0,92
2015-01-04,Madrid,13.492000000000019,1002,78,1,0.0,0.0,0.0,0
2015-01-04,Seville,16.34200000000004,1042,87,4,0.0,0.0,0.0,0
2015-01-04,Valencia,16.59200000000004,1018,92,2,0.0,0.0,0.0,0
2015-01-05,Barcelona,16.410000000000025,1030,89,5,0.0,0.0,0.0,34
2015-01-05,Bilbao,7.479000000000042,1033,99,1,0.3,0.0,0.0,30
2015-01-05,Madrid,11.68950000000001,1028,84,2,0.0,0.0,0.0,12
2015-01-05,Seville,13.139499999999998,1039,95,2,0.3,0.0,0.0,92
2015-01-05,Valencia,14.908000000000015,1028,91,2,0.0,0.0,0.0,0
2015-01-06,Barcelona,14.710000000000036,1024,85,6,0.0,0.0,0.0,88
2015-01-06,Bilbao,8.830343749999997,1029,98,1,0.0,0.0,0.0,69
2015-01-06,Madrid,6.449000000000012,966,92,1,0.0,0.0,0.0,80
2015-01-06,Seville,11.374000000000024,1036,97,3,0.0,0.0,0.0,92
2015-01-06,Valencia,13.974000000000046,1011,96,1,0.0,0.0,0.0,92
2015-01-07,Barcelona,13.300000000000011,1030,88,3,0.3,0.0,0.0,88
2015-01-07,Bilbao,10.095000000000027,1032,97,1,0.0,0.0,0.0,44
2015-01-07,Madrid,9.270000000000039,1031,87,1,0.0,0.0,0.0,8
2015-01-07,Seville,11.703343750000045,1038,94,3,0.0,0.0,0.0,76
2015-01-07,Valencia,11.394687500000032,1033,99,2,0.3,0.0,0.0,92
2015-01-08,Barcelona,15.700000000000045,1037,89,3,0.0,0.0,0.0,0
2015-01-08,Bilbao,9.422000000000025,1042,97,1,0.0,0.0,0.0,76
2015-01-08,Madrid,10.449000000000012,1017,85,1,0.0,0.0,0.0,32
2015-01-08,Seville,14.076656250000042,1046,93,5,0.0,0.0,0.0,0
2015-01-08,Valencia,15.900000000000034,1040,96,6,0.0,0.0,0.0,68
2015-01-09,Barcelona,14.120000000000005,1039,72,2,0.0,0.0,0.0,5
2015-01-09,Bilbao,12.415687500000047,1042,97,1,0.0,0.0,0.0,58
2015-01-09,Madrid,12.012500000000045,1042,96,1,0.0,0.0,0.0,0
2015-01-09,Seville,15.075000000000045,1048,93,4,0.0,0.0,0.0,0
2015-01-09,Valencia,17.80000000000001,1042,83,6,0.0,0.0,0.0,0
2015-01-10,Barcelona,17.210000000000036,1038,77,3,0.0,0.0,0.0,0
2015-01-10,Bilbao,13.449000000000012,1039,93,2,0.0,0.0,0.0,0
2015-01-10,Madrid,12.152000000000044,1042,96,2,0.0,0.0,0.0,0
2015-01-10,Seville,15.902000000000044,1047,91,4,0.0,0.0,0.0,12
2015-01-10,Valencia,21.700000000000045,1039,85,17,0.0,0.0,0.0,0
2015-01-11,Barcelona,18.100000000000023,1030,85,3,0.3,0.0,0.0,64
2015-01-11,Bilbao,8.522000000000048,1036,99,1,0.9,0.0,0.0,92
2015-01-11,Madrid,13.259000000000015,1001,86,4,0.0,0.0,0.0,68
2015-01-11,Seville,18.059000000000026,1039,90,4,0.0,0.0,0.0,64
2015-01-11,Valencia,20.80000000000001,1033,79,22,0.0,0.0,0.0,20
2015-01-12,Barcelona,15.600000000000023,1030,85,6,0.0,0.0,0.0,64
2015-01-12,Bilbao,10.922000000000025,1034,99,3,0.9,0.0,0.0,5
2015-01-12,Madrid,12.15300000000002,998,88,2,0.0,0.0,0.0,36
2015-01-12,Seville,17.90300000000002,1038,97,3,0.3,0.0,0.0,92
2015-01-12,Valencia,16.5,1035,94,4,0.0,0.0,0.0,92
2015-01-13,Barcelona,15.800000000000011,1025,82,7,0.0,0.0,0.0,92
2015-01-13,Bilbao,12.929343750000044,1023,82,4,0.3,0.0,0.0,84
2015-01-13,Madrid,12.447000000000003,967,91,3,0.0,0.0,0.0,36
2015-01-13,Seville,16.297000000000025,1035,89,3,0.0,0.0,0.0,76
2015-01-13,Valencia,19.200000000000045,1029,90,25,0.0,0.0,0.0,92
2015-01-14,Barcelona,16.410000000000025,1023,82,5,0.0,0.0,0.0,48
2015-01-14,Bilbao,10.909312499999999,1025,89,5,0.3,0.1,0.0,58
2015-01-14,Madrid,9.739000000000033,965,92,2,0.0,0.0,0.0,92
2015-01-14,Seville,17.964000000000112,1034,88,3,0.0,0.0,0.0,64
2015-01-14,Valencia,18.80000000000001,1026,84,12,0.0,0.0,0.0,24
2015-01-15,Barcelona,16.100000000000023,1020,91,6,0.0,0.0,0.0,13
2015-01-15,Bilbao,11.850343750000036,1016,94,5,0.9,0.0,0.0,92
2015-01-15,Madrid,10.032000000000039,1012,100,7,0.9,0.0,0.0,92
2015-01-15,Seville,16.742999999999995,1031,89,7,0.9,0.0,0.0,92
